,Year,Pop.,±% p.a.,Table_Name
0,1950,66923000,0,Table 0
1,1960,84305000,+2.34,Table 0
2,1970,110428000,+2.74,Table 0
3,1980,147512000,+2.94,Table 0
4,1990,198232000,+3.00,Table 0
5,2000,259373000,+2.72,Table 0
6,2010,342743000,+2.83,Table 0
7,2021,461141845,+2.73,Table 0
8,1950,26401000,0,Table 1
9,1960,32216000,+2.01,Table 1
10,1970,40846000,+2.40,Table 1
11,1980,53135000,+2.67,Table 1
12,1990,70886000,+2.92,Table 1
13,2000,96113000,+3.09,Table 1
14,2010,130598000,+3.11,Table 1
15,2021,190267973,+3.48,Table 1
16,1950,49222000,0,Table 2
17,1960,63697000,+2.61,Table 2
18,1970,82883000,+2.67,Table 2
19,1980,106908000,+2.58,Table 2
20,1990,140117000,+2.74,Table 2
21,2000,171891000,+2.06,Table 2
22,2010,203717000,+1.71,Table 2
23,2021,255737736,+2.09,Table 2
24,1950,15588000,0,Table 3
25,1960,19724000,+2.38,Table 3
26,1970,25454000,+2.58,Table 3
27,1980,32997000,+2.63,Table 3
28,1990,42049000,+2.45,Table 3
29,2000,51451000,+2.04,Table 3
30,2010,59067000,+1.39,Table 3
31,2021,67984554,+1.29,Table 3
32,1950,70769000,0,Table 4
33,1960,84946000,+1.84,Table 4
34,1970,106015000,+2.24,Table 4
35,1980,137414000,+2.63,Table 4
36,1990,180331000,+2.76,Table 4
37,2000,235235000,+2.69,Table 4
38,2010,307982000,+2.73,Table 4
39,2021,418544337,+2.83,Table 4
40,1950,228902000,0,Table 5
41,1960,284887000,+2.21,Table 5
42,1970,365626000,+2.53,Table 5
43,1980,477965000,+2.72,Table 5
44,1990,631614000,+2.83,Table 5
45,2000,814063000,+2.57,Table 5
46,2010,1044107000,+2.52,Table 5
47,2021,1393676444,+2.66,Table 5
48,1950,340459000,0,Table 6
49,1960,425357000,+2.25,Table 6
50,1970,519522000,+2.02,Table 6
51,1980,619252000,+1.77,Table 6
52,1990,727522000,+1.62,Table 6
53,2000,840614000,+1.46,Table 6
54,2010,943952000,+1.17,Table 6
55,2021,1031377044,+0.81,Table 6
56,1950,17076000,0,Table 7
57,1960,20724000,+1.96,Table 7
58,1970,25306000,+2.02,Table 7
59,1980,29748000,+1.63,Table 7
60,1990,34198000,+1.40,Table 7
61,2000,38314000,+1.14,Table 7
62,2010,41621000,+0.83,Table 7
63,2021,44182048,+0.54,Table 7
64,1950,38029000,0,Table 8
65,1960,51400000,+3.06,Table 8
66,1970,69702000,+3.09,Table 8
67,1980,92425000,+2.86,Table 8
68,1990,114823000,+2.19,Table 8
69,2000,138780000,+1.91,Table 8
70,2010,161117000,+1.50,Table 8
71,2021,177661929,+0.89,Table 8
72,1950,171615000,0,Table 9
73,1960,204167000,+1.75,Table 9
74,1970,231029000,+1.24,Table 9
75,1980,254217000,+0.96,Table 9
76,1990,280633000,+0.99,Table 9
77,2000,313724000,+1.12,Table 9
78,2010,344129000,+0.93,Table 9
79,2021,375278947,+0.79,Table 9
80,1950,226719000,0,Table 10
81,1960,276291000,+2.00,Table 10
82,1970,326036000,+1.67,Table 10
83,1980,376390000,+1.45,Table 10
84,1990,429653000,+1.33,Table 10
85,2000,490818000,+1.34,Table 10
86,2010,546867000,+1.09,Table 10
87,2021,597122924,+0.80,Table 10
88,1950,113739000,0,Table 11
89,1960,149066000,+2.74,Table 11
90,1970,193486000,+2.64,Table 11
91,1980,242862000,+2.30,Table 11
92,1990,297869000,+2.06,Table 11
93,2000,349796000,+1.62,Table 11
94,2010,397085000,+1.28,Table 11
95,2021,434254119,+0.82,Table 11
96,1950,18131000,0,Table 12
97,1960,24616000,+3.10,Table 12
98,1970,33156000,+3.02,Table 12
99,1980,41277000,+2.21,Table 12
100,1990,50407929,+2.02,Table 12
101,2000,55117000,+0.90,Table 12
102,2010,62139000,+1.21,Table 12
103,2021,75897577,+1.83,Table 12
104,1950,666586000,0,Table 13
105,1960,788145000,+1.69,Table 13
106,1970,978113000,+2.18,Table 13
107,1980,1173372000,+1.84,Table 13
108,1990,1368592000,+1.55,Table 13
109,2000,1496284000,+0.90,Table 13
110,2010,1575320000,+0.52,Table 13
111,2021,1663696923,+0.50,Table 13
112,1950,164900000,0,Table 14
113,1960,213838000,+2.63,Table 14
114,1970,281521000,+2.79,Table 14
115,1980,358106000,+2.44,Table 14
116,1990,445665000,+2.21,Table 14
117,2000,526179000,+1.67,Table 14
118,2010,596708000,+1.27,Table 14
119,2021,675796065,+1.14,Table 14
120,1950,493443000,0,Table 15
121,1960,593943000,+1.87,Table 15
122,1970,741603000,+2.25,Table 15
123,1980,939043000,+2.39,Table 15
124,1990,1189261000,+2.39,Table 15
125,2000,1451933000,+2.02,Table 15
126,2010,1702969000,+1.61,Table 15
127,2021,1989452478,+1.42,Table 15
128,1950,50957000,0,Table 16
129,1960,66156000,+2.64,Table 16
130,1970,86037000,+2.66,Table 16
131,1980,113786000,+2.83,Table 16
132,1990,148552000,+2.70,Table 16
133,2000,184957000,+2.22,Table 16
134,2010,232703000,+2.32,Table 16
135,2021,289733123,+2.01,Table 16
136,1950,1394018000,0,Table 17
137,1960,1686698000,+1.92,Table 17
138,1970,2120430000,+2.31,Table 17
139,1980,2625584000,+2.16,Table 17
140,1990,3202475000,+2.01,Table 17
141,2000,3714470000,+1.49,Table 17
142,2010,4169850000,+1.16,Table 17
143,2021,4694576167,+1.08,Table 17
144,1950,220171000,0,Table 18
145,1960,253630000,+1.42,Table 18
146,1970,276396000,+0.86,Table 18
147,1980,295042000,+0.65,Table 18
148,1990,310027000,+0.50,Table 18
149,2000,303789000,−0.20,Table 18
150,2010,294591000,−0.31,Table 18
151,2021,291464162,−0.10,Table 18
152,1950,78030000,0,Table 19
153,1960,81790000,+0.47,Table 19
154,1970,87305000,+0.65,Table 19
155,1980,89833000,+0.29,Table 19
156,1990,92040000,+0.24,Table 19
157,2000,94397000,+0.25,Table 19
158,2010,99682000,+0.55,Table 19
159,2021,106197357,+0.58,Table 19
160,1950,108633000,0,Table 20
161,1960,117879000,+0.82,Table 20
162,1970,127617000,+0.80,Table 20
163,1980,138495000,+0.82,Table 20
164,1990,143404000,+0.35,Table 20
165,2000,145058000,+0.11,Table 20
166,2010,153360000,+0.56,Table 20
167,2021,152130606,−0.07,Table 20
168,1950,142256000,0,Table 21
169,1960,152320000,+0.69,Table 21
170,1970,165903000,+0.86,Table 21
171,1980,170489000,+0.27,Table 21
172,1990,175615000,+0.30,Table 21
173,2000,183163000,+0.42,Table 21
174,2010,187762000,+0.25,Table 21
175,2021,195381649,+0.36,Table 21
176,1950,549089000,0,Table 22
177,1960,605619000,+0.98,Table 22
178,1970,657221000,+0.82,Table 22
179,1980,693859000,+0.54,Table 22
180,1990,721086000,+0.39,Table 22
181,2000,726407000,+0.07,Table 22
182,2010,735395000,+0.12,Table 22
183,2021,745173774,+0.12,Table 22
184,1950,12682000,0,Table 23
185,1960,15784000,+2.21,Table 23
186,1970,19688000,+2.23,Table 23
187,1980,22972000,+1.55,Table 23
188,1990,26971000,+1.62,Table 23
189,2000,31068000,+1.42,Table 23
190,2010,36411000,+1.60,Table 23
191,2016,39901000,+1.54,Table 23
192,2021,44491724,+2.20,Table 23
193,1950,2525149000,0,Table 24
194,1960,3018344000,+1.80,Table 24
195,1970,3682488000,+2.01,Table 24
196,1980,4439632000,+1.89,Table 24
197,1990,5309668000,+1.81,Table 24
198,2000,6126622000,+1.44,Table 24
199,2010,6929725000,+1.24,Table 24
200,2021,7909295151,+1.21,Table 24
